WellID,SampleDate,TotalAntimony_ug_L,TotalAntimony_qualifier,DissolvedAntimony_ug_L,DissolvedAntimony_qualifier,TotalArsenic_ug_L,TotalArsenic_qualifier,DissolvedArsenic_ug_L,DissolvedArsenic_ug_L,TotalMercury_ng_L,TotalMercury_qualifier,DissolvedMercury_ng_L,DissolvedMercury_qualifier,Sulfate_mg_L,Sulfate_qualifier
MW48,19-May,1.4,J,,,,U,,,15.2,,5.98,,3.6,
MW48,19-Sep,,U,,,4.1,,,,4.81,,2.63,,4.1,
MW49,17-Sep,0.48,,,,3.3,,,,198,,12.3,,3.1,
MW49,19-May,,U,,,1.9,J,,,66.3,,17.6,,2.4,
MW49,19-Sep,,U,,,9.6,,,,677,,63.2,,3.2,
MW50,17-Sep,7.3,,,,490,,,,1130,,14.8,,7.7,
MW50,19-May,8.2,,,,350,,,,1750,,206,,7,
MW50,19-Sep,8.3,,,,430,,,,544,,62.8,,8.3,
MW51,17-Sep,,U,,,2.2,,,,,U,,U,3,
MW51,19-May,,U,,,5.9,,,,12,,3.62,,2.3,
MW51,19-Sep,,U,,,9.7,,,,4.3,,0.42,,2.4,
MW52,17-Sep,0.34,J,,,5.5,,,,,U,,U,2.2,
MW52,19-May,,U,,,5.3,,,,14.1,,3.06,,1.5,
MW52,19-Sep,3.3,,,,35,,,,333,,0.13,,5.9,
MW53,17-Sep,0.29,J,,,2.6,,,,186,,18.4,,3.4,
MW53,19-May,,U,,,,U,,,175,,18.8,,3.9,
MW53,19-Sep,,U,,,5.2,,,,107,,12.7,,6.8,
MW54,17-Sep,2.2,,,,34,,,,381,,,U,10,
MW54,19-May,1.1,J,,,51,,,,89.7,,3.09,,9.3,
MW54,19-Sep,1.1,,,,47,,,,40.5,,0.27,,9.5,
MW55,17-Sep,6.5,,,,14,,,,321,,39,,17,
MW55,19-May,8.1,,,,19,,,,51.4,,27.8,,7.3,
MW55,19-Sep,8,,,,26,,,,37.6,,6.63,,8.3,
MW56,17-Sep,0.13,J,,,2.3,,,,,U,,U,3.8,
MW56,19-May,,U,,,,U,,,12.5,,1.14,,4,
MW56,19-Sep,,U,,,4,,,,6.8,,0.68,,6.2,
MW57,17-Sep,0.15,J,,,2.5,,,,119,,13.6,,4.3,
MW57,19-May,,U,,,,U,,,52.2,,24.3,,2.4,
MW57,19-Sep,,U,,,4.2,,,,83.9,,12.6,,3.8,
MW58,17-Sep,0.56,,,,3,,,,,U,,U,10,
MW58,19-May,,U,,,1.9,J,,,3.15,,0.51,,9.4,
MW58,19-Sep,,U,,,7.3,,,,39.6,,3.62,,9.2,
MW59,17-Sep,8.9,,,,78,,,,312,,,U,5.7,
MW59,18-May,,U,,,67,,,,,U,,U,6.1,
MW59,19-May,,U,,,53,,,,19,,1.24,,5.7,
MW59,19-Sep,,U,,,61,,,,76.8,,35.8,,6,
